INFO 2020-02-27 11:00:56,299 basehttp 124 "GET /car_model/ HTTP/1.1" 200 2
INFO 2020-02-27 11:00:56,301 basehttp 124 "GET /gearbox/ HTTP/1.1" 200 2
INFO 2020-02-27 11:00:56,311 basehttp 124 "GET /propulsionpower_num/ HTTP/1.1" 200 2
INFO 2020-02-27 11:00:56,323 basehttp 124 "GET /direction_num/ HTTP/1.1" 200 2
INFO 2020-02-27 11:00:58,019 basehttp 124 "GET /home/ HTTP/1.1" 200 23448
WARNING 2020-02-27 11:00:58,058 base 152 Not Found: /epgn_front_end/js/vue_2.6.10.js
WARNING 2020-02-27 11:00:58,059 basehttp 124 "GET /epgn_front_end/js/vue_2.6.10.js HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:58,064 base 152 Not Found: /epgn_front_end/js/jquery-3.4.1.js
WARNING 2020-02-27 11:00:58,066 base 152 Not Found: /epgn_front_end/layui/css/layui.css
WARNING 2020-02-27 11:00:58,073 basehttp 124 "GET /epgn_front_end/layui/css/layui.css HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:58,077 base 152 Not Found: /epgn_front_end/js/axios-0.18.0.min.js
WARNING 2020-02-27 11:00:58,080 basehttp 124 "GET /epgn_front_end/js/jquery-3.4.1.js HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:58,081 basehttp 124 "GET /epgn_front_end/js/axios-0.18.0.min.js HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:58,085 base 152 Not Found: /epgn_front_end/layui/css/admin.css
WARNING 2020-02-27 11:00:58,093 basehttp 124 "GET /epgn_front_end/layui/css/admin.css HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:58,094 base 152 Not Found: /epgn_front_end/layui/css/modules/layer/default/layer.css
WARNING 2020-02-27 11:00:58,097 base 152 Not Found: /epgn_front_end/layui/layui.js
WARNING 2020-02-27 11:00:58,101 basehttp 124 "GET /epgn_front_end/layui/css/modules/layer/default/layer.css HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:58,100 base 152 Not Found: /epgn_front_end/js/echart.js
WARNING 2020-02-27 11:00:58,105 basehttp 124 "GET /epgn_front_end/js/echart.js HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:58,107 basehttp 124 "GET /epgn_front_end/layui/layui.js HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:58,145 base 152 Not Found: /epgn_front_end/layui/css/layui.css
WARNING 2020-02-27 11:00:58,146 basehttp 124 "GET /epgn_front_end/layui/css/layui.css HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:58,149 base 152 Not Found: /epgn_front_end/layui/layui.js
WARNING 2020-02-27 11:00:58,149 basehttp 124 "GET /epgn_front_end/layui/layui.js HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:58,162 base 152 Not Found: /epgn_front_end/layui/layui.js
